sku,location,shopify_location_id,inventoryItemId,delta_qty_to_add,po_numbers
806993599916,HQ,gid://shopify/Location/110138032438,gid://shopify/InventoryItem/55716629938486,10,PO-A097
806993599916,MTL02,gid://shopify/Location/107681382710,gid://shopify/InventoryItem/55716629938486,3,PO-A095
806993599916,MTL08,gid://shopify/Location/107681874230,gid://shopify/InventoryItem/55716629938486,3,PO-A089
806993599916,MTL11,gid://shopify/Location/107681972534,gid://shopify/InventoryItem/55716629938486,3,PO-A086
806993599916,QC01,gid://shopify/Location/107682201910,gid://shopify/InventoryItem/55716629938486,3,PO-A083
806993599923,EDM01,gid://shopify/Location/105568469302,gid://shopify/InventoryItem/55716629971254,3,PO-A082
806993599923,HQ,gid://shopify/Location/110138032438,gid://shopify/InventoryItem/55716629971254,10,PO-A097
806993599923,MTL02,gid://shopify/Location/107681382710,gid://shopify/InventoryItem/55716629971254,3,PO-A095
806993599923,MTL04,gid://shopify/Location/20829700169,gid://shopify/InventoryItem/55716629971254,3,PO-A093
806993599923,MTL06,gid://shopify/Location/107681841462,gid://shopify/InventoryItem/55716629971254,3,PO-A091
806993599923,MTL07,gid://shopify/Location/35316531273,gid://shopify/InventoryItem/55716629971254,4,PO-A090
806993599923,MTL08,gid://shopify/Location/107681874230,gid://shopify/InventoryItem/55716629971254,3,PO-A089
806993599923,QC01,gid://shopify/Location/107682201910,gid://shopify/InventoryItem/55716629971254,6,PO-A083
806993599954,HQ,gid://shopify/Location/110138032438,gid://shopify/InventoryItem/55716630069558,10,PO-A097
806993599954,MTL06,gid://shopify/Location/107681841462,gid://shopify/InventoryItem/55716630069558,3,PO-A091
806993599954,MTL08,gid://shopify/Location/107681874230,gid://shopify/InventoryItem/55716630069558,3,PO-A089
806993599961,HQ,gid://shopify/Location/110138032438,gid://shopify/InventoryItem/55716630102326,10,PO-A097
806993599961,MTL06,gid://shopify/Location/107681841462,gid://shopify/InventoryItem/55716630102326,3,PO-A091
806993599961,MTL07,gid://shopify/Location/35316531273,gid://shopify/InventoryItem/55716630102326,4,PO-A090
806993599961,OTT02,gid://shopify/Location/35316498505,gid://shopify/InventoryItem/55716630102326,3,PO-A085
806993599961,QC01,gid://shopify/Location/107682201910,gid://shopify/InventoryItem/55716630102326,3,PO-A083
806993599978,HQ,gid://shopify/Location/110138032438,gid://shopify/InventoryItem/55716630200630,10,PO-A097
806993599985,HQ,gid://shopify/Location/110138032438,gid://shopify/InventoryItem/55716630233398,10,PO-A097
806993599992,HQ,gid://shopify/Location/110138032438,gid://shopify/InventoryItem/55716630266166,10,PO-A097
806993599992,MTL01,gid://shopify/Location/107681349942,gid://shopify/InventoryItem/55716630266166,3,PO-A096
806993599992,MTL02,gid://shopify/Location/107681382710,gid://shopify/InventoryItem/55716630266166,3,PO-A095
806993599992,MTL10,gid://shopify/Location/60899721289,gid://shopify/InventoryItem/55716630266166,3,PO-A087
806993599992,MTL11,gid://shopify/Location/107681972534,gid://shopify/InventoryItem/55716630266166,3,PO-A086
806993600001,HQ,gid://shopify/Location/110138032438,gid://shopify/InventoryItem/55716630298934,10,PO-A097
806993600001,MTL01,gid://shopify/Location/107681349942,gid://shopify/InventoryItem/55716630298934,3,PO-A096
806993600001,MTL08,gid://shopify/Location/107681874230,gid://shopify/InventoryItem/55716630298934,3,PO-A089
806993600001,QC01,gid://shopify/Location/107682201910,gid://shopify/InventoryItem/55716630298934,3,PO-A083
806993601312,MTL10,gid://shopify/Location/60899721289,gid://shopify/InventoryItem/55716721361206,10,PO-A087
806993601329,MTL09,gid://shopify/Location/107681939766,gid://shopify/InventoryItem/55716721393974,10,PO-A088
806993601329,MTL11,gid://shopify/Location/107681972534,gid://shopify/InventoryItem/55716721393974,10,PO-A086
806993601336,MTL06,gid://shopify/Location/107681841462,gid://shopify/InventoryItem/55716721426742,10,PO-A091
806993601336,MTL09,gid://shopify/Location/107681939766,gid://shopify/InventoryItem/55716721426742,10,PO-A088
806993601336,MTL10,gid://shopify/Location/60899721289,gid://shopify/InventoryItem/55716721426742,10,PO-A087
806993601343,MTL10,gid://shopify/Location/60899721289,gid://shopify/InventoryItem/55716721459510,10,PO-A087
806993601374,MTL03,gid://shopify/Location/107681448246,gid://shopify/InventoryItem/55716721525046,10,PO-A094
806993601374,MTL06,gid://shopify/Location/107681841462,gid://shopify/InventoryItem/55716721525046,10,PO-A091
806993601374,MTL07,gid://shopify/Location/35316531273,gid://shopify/InventoryItem/55716721525046,10,PO-A090
806993601374,MTL08,gid://shopify/Location/107681874230,gid://shopify/InventoryItem/55716721525046,10,PO-A089
806993601374,MTL09,gid://shopify/Location/107681939766,gid://shopify/InventoryItem/55716721525046,10,PO-A088
806993601374,MTL10,gid://shopify/Location/60899721289,gid://shopify/InventoryItem/55716721525046,10,PO-A087
806993601374,MTL11,gid://shopify/Location/107681972534,gid://shopify/InventoryItem/55716721525046,10,PO-A086
806993601374,QC01,gid://shopify/Location/107682201910,gid://shopify/InventoryItem/55716721525046,10,PO-A083
806993601404,MTL08,gid://shopify/Location/107681874230,gid://shopify/InventoryItem/55716721590582,10,PO-A089
806993601428,MTL04,gid://shopify/Location/20829700169,gid://shopify/InventoryItem/55716721656118,10,PO-A093
